"Message",Low,"Kompilacja rozpoczęła się."
"Message",Low,"Projekt „Unnamed_1” (domyślne elementy docelowe):"
"Message",Low,"Kompilowanie przy użyciu wersji narzędzi „4.0”."
"Message",Low,"Element docelowy „PrintILCStartMessage” w pliku „C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x86\ilc\IlcInternals.targets” z projektu „C:\Users\adria\Documents\Przypomnienia\Reminder_beta\Unnamed_1” (zależy od niego element docelowy „Build”):"
"Message",Low,"Używanie zadania „IlcMessageTask” z zestawu „C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x86\ilc\ilc.exe”."
"Message",Low,"Zadanie „IlcMessageTask”"
"Message",High,"Starting .NET Native compilation"
"Message",Low,"Wykonywanie zadania „IlcMessageTask” zakończone."
"Message",Low,"Wykonano kompilowanie elementu docelowego „PrintILCStartMessage” w projekcie „Unnamed_1”."
"Message",Low,"Element docelowy „RunGatekeeper” w pliku „C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x86\ilc\IlcInternals.targets” z projektu „C:\Users\adria\Documents\Przypomnienia\Reminder_beta\Unnamed_1” (zależy od niego element docelowy „Build”):"
"Message",Low,"Używanie zadania „WriteLinesToFile” z zestawu „Microsoft.Build.Tasks.v4.0, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a”."
"Message",Low,"Zadanie „WriteLinesToFile”"
"Message",Low,"Wykonywanie zadania „WriteLinesToFile” zakończone."
"Message",Low,"Używanie zadania „StartProcessTask” z zestawu „Microsoft.Build.ILTasks”."
"Message",Low,"Zadanie „StartProcessTask”"
"Message",Normal,"Launching 'C:\Program Files (x86)\MSBuild\15.0\.Net\.NetNative\15.0.24211\x86\ilc\tools\Gatekeeper.exe @""C:\Users\adria\Documents\Przypomnienia\Reminder_beta\obj\x86\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.0.24211.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'C:\Users\adria\Documents\Przypomnienia\Reminder_beta\obj\x86\Release\ilc\in\Background.winmd'. "
"Message",Low,"Checking assembly 'C:\Users\adria\Documents\Przypomnienia\Reminder_beta\obj\x86\Release\ilc\in\NotificationsExtensions.Win10.dll'. "
"Message",Low,"Checking assembly 'C:\Users\adria\Documents\Przypomnienia\Reminder_beta\obj\x86\Release\ilc\in\Reminder_beta.exe'. "
